nombre_completo,partido,region,distrito_o_circunscripcion,camara,url_perfil
Sr. Miguel Ángel Becker,RN,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1106
Sra. María Francisca Bello,FA,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1107
Sr. Juan Carlos Beltrán,RN,,N°22,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1108
Sr. Gustavo Benavente,UDI,,N°18,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1109
Sr. Bernardo Berger,IND,,N°24,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=971
Sr. Alejandro Bernales,LIBERAL,,N°26,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1013
Sr. Carlos Bianchi,IND,,N°28,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1110
Sr. Sergio Bobadilla,UDI,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=815
Sr. Fernando Bórquez,UDI,,N°26,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1111
Sra. Ana María Bravo,PS,,N°24,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1112
Sra. Marta Bravo,UDI,,N°19,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1113
Sr. Jorge Brito,FA,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1015
Sr. Félix Bugueño,FA,,N°16,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1114
Sr. Miguel Ángel Calisto,IND,,N°27,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1016
Sr. Felipe Camaño,IND,,N°19,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1116
Srta. Karol Cariola,PC,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=973
Sr. Álvaro Carter,IND,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1017
Sra. Nathalie Castillo,PC,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1117
Sr. José Miguel Castro,RN,,N°3,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1019
Sr. Roberto Celedón,IND,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1184
Sr. Andrés Celis,RN,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1021
Sra. Daniella Cicardini,PS,,N°4,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=975
Sra. Sofía Cid,IND,,N°4,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1022
Sr. Ricardo Cifuentes,DC,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1118
Sr. Juan Antonio Coloma,UDI,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=976
Sra. Sara Concha,PSC,,N°19,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1119
Sra. María Luisa Cordero,IND,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1120
Sr. Eduardo Cornejo,UDI,,N°16,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1121
Sr. Luis Alberto Cuello,PC,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1122
Sr. Gonzalo De la Carrera,PNL,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1123
Sra. Catalina Del Real,IND,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1025
Sra. Viviana Delgado,IND,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1125
